"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Adaptación anatómica","Strength","Hem de realitzar dues voltes. El temps de descans entre voltes és 1'30'' i entre exercicis de 30''.","0.75","","2025-06-03","Si no tenim cinturó rus, podem utilitzar un neumàtic de bici. Si no es poden fer dominadas, realitzar rem amb gomes elàstiques o manuelles.","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Swim club","Swim","","","2500","2025-06-03","","1000","","","","","0.339852498372396","0.814995925020375","","29","","119","150","","","0.735613247503806","13.53","20","0","0","0","0","0","","","","","","","","","","","","","","","1","5"
"Lap Swimming","Swim","","","","2025-06-03","","2750","","","","","0.889780836105347","0.856964786537862","","27","","129","162","","","0.772662179384815","41.04","45","7","2","0","0","0","","","","","","","","","","","","","","","",""
"15' LT1 + 3 x 8' LT2","Bike","15' 175w 3 x 8' @205-210w","2.15","","2025-06-04","","44630.1484375","172","622","1013.27","","1.64464354515076","7.53800010681152","","83","","145","182","","","0.83078111789981","113.03","63","25","8","9","2","1","","","","","25","12","12","25","14","6","2","","","","3","5"
"Swimming","Swim","","","","2025-06-04","","1850","","","","","0.602660552130805","0.850183823529412","","28","","126","150","","","0.767430352567055","27.24","36","0","0","0","0","0","","","","","","","","","","","","","","","",""
"8' LT1 + VO2max: 18 x 30''/20''","Run","8' LT1 (4:50/km) 18 x 30'' 3:45-3:50/km","0.977777777777778","","2025-06-05","","10015.580078125","292","556","969.267","","0.921561121940613","3.01900005340576","","155","","151","184","","","1.32412597056016","160.3","24","8","8","12","7","2","","","","","10","1","0","1","1","2","28","","","","4","5"
"Lap Swimming","Swim","","","","2025-06-05","","2825","","","","","0.803770561218262","0.974810213940649","","27","","131","165","","","0.878671145817469","54.53","47","1","0","0","0","0","","","","","","","","","","","","","","","",""
"Adaptación anatómica","Strength","Hem de realitzar dues voltes. El temps de descans entre voltes és 1'30'' i entre exercicis de 30''.","0.75","","2025-06-06","Si no tenim cinturó rus, podem utilitzar un neumàtic de bici. Si no es poden fer dominadas, realitzar rem amb gomes elàstiques o manuelles.","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-06-06","","34848.69921875","143","675","745.864","","1.45523405075073","6.65199995040894","","77","","125","158","","","0.717521222543207","74.34","82","6","0","0","0","0","","","","","31","15","10","19","9","2","1","","","","",""
"8' LT1 + LT2: 8 x 3'","Run","8' LT1 (4:50/km) 8 x 3' (4:30-4:35/km)","1.17222222222222","","2025-06-06","","11567.7099609375","295","513","1066.879","","1.00500524044037","3.19700002670288","","160","","150","177","","","1.32882579283086","176.29","22","12","9","15","9","0","","","","","9","1","0","1","1","7","29","","","","3","5"
"Lap Swimming","Swim","","","","2025-06-06","","2000","","","","","0.625168892012702","0.884955752212389","","29","","114","140","","","0.79978387662616","31.98","38","0","0","0","0","0","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-06-07","","21162.169921875","169","377","406.621","","0.666777193546295","8.81599998474121","","82","","","","","","0.776185174216631","39.73","","","","","","","","","","","8","6","7","11","5","3","1","","","","",""
"3h Fatmax","Bike","150-155w mitjos trancant d'anar el més estable possible durant la sortida, evitar ports amb molt desnivell.","3","","2025-06-08","","25526.640625","149","370","528.62","","0.989763021469116","7.16400003433228","","75","","128","166","","","0.7358694774128","53.24","49","8","3","1","0","0","","","","","19","12","8","11","6","2","1","","","","",""
"Swimming","Swim","","","","2025-06-08","","1000","","","","","0.409722222222222","0.656000053319684","","22","","87","124","","","0.55043553479953","13.45","25","0","0","0","0","0","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2025-06-08","","1000","","","","","0.375979722208447","0.735835172921266","","22","","87","124","","","0.664929476865238","11.05","23","0","0","0","0","0","","","","","","","","","","","","","","","",""
"12km incl. 8km steady","Run","2km <5:30/km 8km @5:00-5:05/km 2km <5:30/km","1.05694444444444","","2025-06-09","","10087.2900390625","314","481","942.711"," *06/09/2025 David Sabat: 2km acabados últimos sin reloj, se me ha quedado sin batería al empezar el cool down, Algo fatigado me he visto, nose si algo de bpm o de técnica (dorsal un poco cargado tmbbb)*","0.834204196929932","3.35899996757507","","166","","152","178","","","1.31452793506956","142.56","21","5","6","15","9","0","","","","","0","0","0","0","1","14","33","","","","4","7"
